"","species","Pop","mean_Control","mean_Vernalization","sd_Control","sd_Vernalization","se_Control","se_Vernalization","N_Control","N_Vernalization","N.fam_Control","N.fam_Vernalization","Control","Vernalization","sensitivity","sensitivity.abs"
"1","bienne","1","154.833333333333","97.25","22.7983917561451","1.70782512765993","9.30740445977168","0.853912563829966","6","4","4","2","154.833333333333","97.25","0.77297781031993","0.77297781031993"
"2","bienne","10","121.571428571429","88","23.272710362548","4.81663783151692","8.79625770767682","1.96638416050035","7","6","4","4","121.571428571429","88","0.450650697767666","0.450650697767666"
"3","bienne","15","187.142857142857","102.9","32.3698860642036","6.27959659001542","12.2346669276254","1.98578280114753","7","10","4","5","187.142857142857","102.9","1.13084560201529","1.13084560201529"
"4","bienne","19","206.666666666667","112","16.7431578064991","5.65685424949238","9.66666666666667","4","3","2","2","1","206.666666666667","112","1.27077104562003","1.27077104562003"
"5","bienne","2","153","98.75","66.1891229734916","9.9121138007995","38.2143079661707","4.95605690039975","3","4","2","2","153","98.75","0.728232350967112","0.728232350967112"
"6","bienne","3","172.25","104.428571428571","30.1128828624181","3.45722156541651","10.646511836546","1.30670692704878","8","7","4","4","172.25","104.428571428571","0.910410292617871","0.910410292617871"
"7","bienne","4","109.75","94.625","46.6039544612748","5.15301576055919","16.4769861148382","1.82186619392628","8","8","5","5","109.75","94.625","0.203032521813411","0.203032521813411"
"8","bienne","5","76.5","89.2","13.4350288425444","1.92353840616713","9.5","0.860232526704263","2","5","2","2","76.5","89.2","-0.170480200134236","0.170480200134236"
"9","bienne","6","182.25","102.25","44.8135024295134","4.03112887414927","22.4067512147567","2.01556443707464","4","4","3","2","182.25","102.25","1.07389102446763","1.07389102446763"
"10","bienne","8","197","93","25.3574446662119","4.58257569495584","14.6401275039985","2.64575131106459","3","3","2","2","197","93","1.39605833180792","1.39605833180792"
"11","bienne","9","97.25","90.5","30.1482448355898","0.707106781186548","15.0741224177949","0.5","4","2","3","2","97.25","90.5","0.0906095551894563","0.0906095551894563"
"12","bienne","IOW1","302.5","104.833333333333","24.7487373415292","7.22264956000682","17.5","2.94863433549236","2","6","2","3","302.5","104.833333333333","2.6534057396221","2.6534057396221"
"13","bienne","IOW2","103.2","107.375","68.4777336073559","10.0560926805594","30.6241734582339","3.55536566333197","5","8","3","4","103.2","107.375","-0.0560436878394044","0.0560436878394044"
"14","bienne","Lla","247.571428571429","113.416666666667","38.1307275166942","11.8740230858132","14.4120603313058","3.42773521247903","7","12","6","7","247.571428571429","113.416666666667","1.80084493373895","1.80084493373895"
"15","bienne","Man","240.5","106.125","40.0374824383352","2.5319388392523","20.0187412191676","0.895175561392449","4","8","3","4","240.5","106.125","1.80380133016047","1.80380133016047"
"16","bienne","Mat","212.7","107.9","19.6528199842499","8.59521830890745","6.21476735955042","2.71804668425283","10","10","5","5","212.7","107.9","1.4067972420526","1.4067972420526"
"17","bienne","Roc","237","103","32.5269119345812","4.24264068711928","23","3","2","2","1","1","237","103","1.79876746598328","1.79876746598328"
"18","bienne","Saf","263.75","107.5","53.1750254662218","6.11788945867539","26.5875127331109","2.16300056138953","4","8","3","4","263.75","107.5","2.09744340716334","2.09744340716334"
"19","bienne","Tal","119.5","115.857142857143","53.0330085889911","15.4965433933783","37.5","5.85714285714286","2","7","1","4","119.5","115.857142857143","0.048900394864151","0.048900394864151"
"20","bienne","Tor","76","87.5","5.65685424949238","2.12132034355964","4","1.5","2","2","1","1","76","87.5","-0.154371834767222","0.154371834767222"
"21","bienne","Tym","189.5","112.25","27.5771644662754","11.5356590003098","19.5","4.07847135228735","2","8","2","4","189.5","112.25","1.03697602050156","1.03697602050156"
"22","bienne","Vil","234.25","107.125","47.1690223204453","4.38951673226759","23.5845111602226","1.55192852375911","4","8","3","4","234.25","107.125","1.70647995606809","1.70647995606809"
"23","bienne","11",NA,NA,NA,NA,NA,NA,"1","1","1","1",NA,NA,NA,NA
"24","bienne","12",NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA
"25","bienne","13",NA,NA,NA,NA,NA,NA,"1","4","1","3",NA,NA,NA,NA
"26","bienne","14",NA,NA,NA,NA,NA,NA,"1","3","1","2",NA,NA,NA,NA
"27","bienne","7",NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA
"28","bienne","Sut",NA,NA,NA,NA,NA,NA,NA,"2",NA,"1",NA,NA,NA,NA
"29","usitatissimum","Ara","85","97","1.4142135623731","0","1","0","2","2","1","1","85","97","0.471551371264838","0.471551371264838"
"30","usitatissimum","Ari","65.6666666666667","92","8.62167810425171","4.32049379893857","4.97772817435603","2.16024689946929","3","4","1","1","65.6666666666667","92","1.03479328694228","1.03479328694228"
"31","usitatissimum","Ble","56.25","100.75","3.86221007541882","5.05799696849784","1.93110503770941","2.52899848424892","4","4","1","1","56.25","100.75","1.74866966844044","1.74866966844044"
"32","usitatissimum","Bol","70","94.5","7.07106781186548","3.53553390593274","5","2.5","2","2","1","1","70","94.5","0.962750716332378","0.962750716332378"
"33","usitatissimum","Ede","73.3333333333333","101.5","2.3094010767585","3.53553390593274","1.33333333333333","2.5","3","2","1","1","73.3333333333333","101.5","1.10683585755219","1.10683585755219"
"34","usitatissimum","Gis","78.25","103","8.18026079453868","7.30296743340222","4.09013039726934","3.65148371670111","4","4","1","1","78.25","103","0.972574703233729","0.972574703233729"
"35","usitatissimum","Lir","60.3333333333333","87","3.78593889720018","5.65685424949238","2.185812841434","4","3","2","1","1","60.3333333333333","87","1.04789193614408","1.04789193614408"
"36","usitatissimum","Mar","66","95.5","5.65685424949238","0.707106781186548","4","0.5","2","2","1","1","66","95.5","1.15923045435939","1.15923045435939"
"37","usitatissimum","Mon","58.25","95.75","5.5","4.99165971062398","2.75","2.49582985531199","4","4","1","1","58.25","95.75","1.47359803520262","1.47359803520262"
"38","usitatissimum","Olg","110.5","99.5","19.0918830920368","3.53553390593274","13.5","2.5","2","2","1","1","110.5","99.5","-0.432255423659435","0.432255423659435"
"39","usitatissimum","Ome","57.5","86","3.87298334620742","1.4142135623731","1.93649167310371","1","4","2","1","1","57.5","86","1.11993450675399","1.11993450675399"
"40","usitatissimum","Pri","90.25","103.75","33.8366172462122","14.5459043491057","16.9183086231061","7.27295217455287","4","4","1","1","90.25","103.75","0.530495292672943","0.530495292672943"
"41","usitatissimum","Rab","74.5","98","34.0832314586905","3.55902608401044","17.0416157293452","1.77951304200522","4","4","1","1","74.5","98","0.923454768726975","0.923454768726975"
"42","usitatissimum","Suz","61.75","99","18.4458667456967","0","9.22293337284836","0","4","2","1","1","61.75","99","1.46377404830127","1.46377404830127"
"43","usitatissimum","Tin","70.5","101","3.1091263510296","6.48074069840786","1.5545631755148","3.24037034920393","4","4","1","1","70.5","101","1.1985264019648","1.1985264019648"
"44","usitatissimum","Vol","68","99","5.65685424949238","1.4142135623731","4","1","2","2","1","1","68","99","1.2181743757675","1.2181743757675"
